2018-10-10 07:04:15 status unpacked libacl1:armhf 2.2.52-3
2018-10-10 07:04:15 install libapparmor1:armhf <none> 2.10.95-0ubuntu2
2018-10-10 07:04:15 status half-installed libapparmor1:armhf 2.10.95-0ubuntu2
2018-10-10 07:04:15 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2018-10-10 07:04:15 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2018-10-10 07:04:15 install libattr1:armhf <none> 1:2.4.47-2
2018-10-10 07:04:15 status half-installed libattr1:armhf 1:2.4.47-2
2018-10-10 07:04:15 status unpacked libattr1:armhf 1:2.4.47-2
2018-10-10 07:04:15 status unpacked libattr1:armhf 1:2.4.47-2
2018-10-10 07:04:15 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2018-10-10 07:04:15 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2018-10-10 07:04:15 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2018-10-10 07:04:15 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2018-10-10 07:04:15 install libaudit1:armhf <none> 1:2.4.5-1ubuntu2
2018-10-10 07:04:15 status half-installed libaudit1:armhf 1:2.4.5-1ubuntu2
2018-10-10 07:04:15 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2018-10-10 07:04:15 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2018-10-10 07:04:15 install libblkid1:armhf <none> 2.27.1-6ubuntu3
2018-10-10 07:04:15 status half-installed libblkid1:armhf 2.27.1-6ubuntu3
2018-10-10 07:04:15 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2018-10-10 07:04:15 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2018-10-10 07:04:15 install libbz2-1.0:armhf <none> 1.0.6-8
2018-10-10 07:04:15 status half-installed libbz2-1.0:armhf 1.0.6-8
2018-10-10 07:04:15 status unpacked libbz2-1.0:armhf 1.0.6-8
2018-10-10 07:04:15 status unpacked libbz2-1.0:armhf 1.0.6-8
2018-10-10 07:04:15 install libc-bin:armhf <none> 2.23-0ubuntu3
2018-10-10 07:04:15 status half-installed libc-bin:armhf 2.23-0ubuntu3
2018-10-10 07:04:15 status unpacked libc-bin:armhf 2.23-0ubuntu3
2018-10-10 07:04:15 status unpacked libc-bin:armhf 2.23-0ubuntu3
2018-10-10 07:04:15 upgrade libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2018-10-10 07:04:15 status half-configured libc6:armhf 2.23-0ubuntu3
2018-10-10 07:04:15 status unpacked libc6:armhf 2.23-0ubuntu3
2018-10-10 07:04:15 status half-installed libc6:armhf 2.23-0ubuntu3
2018-10-10 07:04:16 status half-installed libc6:armhf 2.23-0ubuntu3
2018-10-10 07:04:16 status unpacked libc6:armhf 2.23-0ubuntu3
2018-10-10 07:04:16 status unpacked libc6:armhf 2.23-0ubuntu3
2018-10-10 07:04:16 install libcap2:armhf <none> 1:2.24-12
2018-10-10 07:04:16 status half-installed libcap2:armhf 1:2.24-12
2018-10-10 07:04:16 status unpacked libcap2:armhf 1:2.24-12
2018-10-10 07:04:16 status unpacked libcap2:armhf 1:2.24-12
2018-10-10 07:04:16 install libcap2-bin:armhf <none> 1:2.24-12
2018-10-10 07:04:16 status half-installed libcap2-bin:armhf 1:2.24-12
2018-10-10 07:04:16 status unpacked libcap2-bin:armhf 1:2.24-12
2018-10-10 07:04:16 status unpacked libcap2-bin:armhf 1:2.24-12
2018-10-10 07:04:16 install libcomerr2:armhf <none> 1.42.13-1ubuntu1
2018-10-10 07:04:16 status half-installed libcomerr2:armhf 1.42.13-1ubuntu1
2018-10-10 07:04:16 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2018-10-10 07:04:16 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2018-10-10 07:04:16 install libcryptsetup4:armhf <none> 2:1.6.6-5ubuntu2
2018-10-10 07:04:16 status half-installed libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2018-10-10 07:04:16 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2018-10-10 07:04:16 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2018-10-10 07:04:16 install libdb5.3:armhf <none> 5.3.28-11
2018-10-10 07:04:16 status half-installed libdb5.3:armhf 5.3.28-11
2018-10-10 07:04:16 status unpacked libdb5.3:armhf 5.3.28-11
2018-10-10 07:04:16 status unpacked libdb5.3:armhf 5.3.28-11
2018-10-10 07:04:16 install libdebconfclient0:armhf <none> 0.198ubuntu1
2018-10-10 07:04:16 status half-installed libdebconfclient0:armhf 0.198ubuntu1
2018-10-10 07:04:16 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2018-10-10 07:04:16 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2018-10-10 07:04:16 install libdevmapper1.02.1:armhf <none> 2:1.02.110-1ubuntu10
2018-10-10 07:04:16 status half-installed libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2018-10-10 07:04:16 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2018-10-10 07:04:16 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2018-10-10 07:04:16 install libfdisk1:armhf <none> 2.27.1-6ubuntu3
2018-10-10 07:04:16 status half-installed libfdisk1:armhf 2.27.1-6ubuntu3
2018-10-10 07:04:16 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2018-10-10 07:04:16 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2018-10-10 07:04:16 install libgcc1:armhf <none> 1:6.0.1-0ubuntu1
2018-10-10 07:04:16 status half-installed libgcc1:armhf 1:6.0.1-0ubuntu1
2018-10-10 07:04:16 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2018-10-10 07:04:16 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2018-10-10 07:04:16 install libgcrypt20:armhf <none> 1.6.5-2
